"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"689.3102 / 18.40",432.17,5.7411e-19,18.241,7.3354e-15,"Infected - Control"
"861.3925 / 18.36",363.17,6.0538e-18,17.218,2.7018e-14,"Infected - Control"
"861.1418 / 18.39",361.91,6.3438e-18,17.198,2.7018e-14,"Infected - Control"
"276.0185 / 10.87",305.21,6.1939e-17,16.208,1.9785e-13,"Control - Infected"
"675.1069 / 18.60",254.77,6.6927e-16,15.174,1.7102e-12,"Infected - Control"
"210.0396 / 4.48",231.86,2.2794e-15,14.642,4.854e-12,"Control - Infected"
"843.1252 / 18.53  M4H4",227.31,2.944e-15,14.531,5.3065e-12,"Infected - Control"
"843.3838 / 18.46",225.19,3.3225e-15,14.479,5.3065e-12,"Infected - Control"
"843.8828 / 18.46",219.03,4.75e-15,14.323,6.7434e-12,"Infected - Control"
"843.6325 / 18.49",206.35,1.0197e-14,13.992,1.3028e-11,"Infected - Control"
"208.0612 / 7.60",173.01,9.4428e-14,13.025,1.0968e-10,"Control - Infected"
"689.1124 / 18.44  M5H5",162.37,2.0785e-13,12.682,2.2131e-10,"Infected - Control"
"300.1079 / 6.34",160.96,2.3147e-13,12.636,2.275e-10,"Control - Infected"
"688.9154 / 18.36  M5H5",154.71,3.7729e-13,12.423,3.4433e-10,"Infected - Control"
"860.8867 / 18.43  M4H4",151.38,4.9246e-13,12.308,4.1446e-10,"Infected - Control"
"306.0591 / 8.40",150.73,5.19e-13,12.285,4.1446e-10,"Control - Infected"
"844.3766 / 18.58",142.3,1.0467e-12,11.98,7.8667e-10,"Infected - Control"
"287.2448 / 1.42",140.23,1.2494e-12,11.903,8.8688e-10,"Infected - Control"
"872.3864 / 18.76",135.17,1.9466e-12,11.711,1.309e-09,"Infected - Control"
"872.1331 / 18.76",132.82,2.4021e-12,11.619,1.5346e-09,"Infected - Control"
"158.0814 / 8.34",129.18,3.3491e-12,11.475,2.0377e-09,"Control - Infected"
"415.2203 / 13.02",127.54,3.8997e-12,11.409,2.2648e-09,"Infected - Control"
"192.0663 / 10.84",126.24,4.4046e-12,11.356,2.4468e-09,"Control - Infected"
"462.1027 / 10.28",123.94,5.4758e-12,11.262,2.9051e-09,"Infected - Control"
