"","361.2087 / 3.47  M","453.2115 / 10.42  ","341.1667 / 3.45","293.1503 / 5.13","345.1423 / 6.27","346.1979 / 4.15  M","435.2417 / 9.00  M","215.1395 / 2.16","590.2780 / 11.00  ","261.1275 / 5.32","359.1582 / 11.13","295.1669 / 5.16  M","418.2251 / 11.01  ","325.1739 / 6.83","375.2210 / 3.76","490.2508 / 11.07","380.1792 / 13.65  ","358.1973 / 13.65  ","636.3357 / 19.68","356.6859 / 3.96  M","332.2191 / 7.10  M","330.2029 / 7.08","289.1505 / 7.69  M","854.3902 / 15.20  ","580.2660 / 7.32  M","449.7488 / 19.19","707.3366 / 10.13  ","439.2266 / 10.13  ","439.7266 / 10.12","433.5526 / 16.71","549.3146 / 16.50","896.4697 / 19.20  ","501.2305 / 7.93  M","569.7558 / 19.86  ","801.3629 / 15.49  ","379.7229 / 10.83","344.2183 / 11.11","373.1723 / 9.41  M","440.2980 / 15.59","345.2137 / 3.57","474.2458 / 8.12","480.2445 / 11.07","379.7088 / 10.72","387.2239 / 8.16  M","423.2304 / 15.02","809.4409 / 19.07  ","428.7079 / 15.05","476.7101 / 13.24","479.2499 / 11.58  ","485.2395 / 15.33","473.2970 / 16.49","490.1937 / 10.46  ","467.2498 / 11.48","416.2343 / 10.19","459.7504 / 10.67  ","396.1783 / 5.87","359.1931 / 3.48","424.7012 / 9.61","376.1834 / 19.61  ","517.2974 / 11.15","395.2276 / 13.11  ","393.2099 / 13.08  ","475.2157 / 13.13  ","521.7810 / 15.92  ","482.2236 / 12.92  ","942.4522 / 10.99  ","402.2699 / 8.03","600.3704 / 8.01","375.1522 / 5.70","298.1403 / 8.89  M","340.1869 / 17.48  ","354.2024 / 19.61  ","423.2236 / 10.54","560.7822 / 19.86  ","558.7644 / 19.86  ","372.2198 / 10.26","465.2696 / 15.50  ","532.2345 / 14.20  ","278.1581 / 11.15","445.2674 / 12.49","492.2111 / 10.45","408.7460 / 9.41  M","468.7141 / 15.70  ","325.1739 / 7.71","429.2712 / 15.30","507.2452 / 10.46  ","632.2772 / 15.72","421.2143 / 12.79  ","542.2931 / 9.50","422.2507 / 12.64","665.3238 / 17.20  ","429.2394 / 6.82  M","346.6914 / 8.06  M","334.1376 / 11.96  ","425.2027 / 15.20  ","545.2679 / 1.93","404.1803 / 18.31  ","243.1710 / 6.86  M","306.1465 / 5.16  M","359.1575 / 10.11"
"361.2087 / 3.47  M",1,0.97645,0.97344,0.97795,0.97845,0.97093,0.96091,0.93282,0.93391,0.94645,0.94242,0.93373,0.93429,0.94505,0.95273,0.9348,0.96554,0.96502,0.96759,0.964,0.96707,0.96707,0.95785,0.96349,0.9681,0.96041,0.9599,0.9599,0.9599,0.96451,0.9722,0.96912,0.96912,0.97322,0.9722,0.97015,0.96605,0.96912,0.9471,0.96144,0.95376,0.95478,0.9599,0.95529,0.95119,0.95734,0.95939,0.9558,0.95478,0.94249,0.95427,0.95273,0.96246,0.97373,0.96912,0.97527,0.97732,0.95324,0.95888,0.9681,0.95888,0.96195,0.96093,0.9558,0.94863,0.9471,0.93839,0.94249,0.9671,0.96686,0.96145,0.96194,0.94525,0.95227,0.94976,0.94926,0.94149,0.94575,0.91894,0.9217,0.92871,0.93122,0.93974,0.93623,0.93423,0.94124,0.94575,0.91744,0.92671,0.94325,0.93373,0.92284,0.9212,0.92471,0.91418,0.91067,0.90266,0.91399,0.91468,0.91468
"453.2115 / 10.42  ",0.97645,1,0.96642,0.97244,0.97745,0.98146,0.98196,0.93043,0.92604,0.94301,0.94194,0.92671,0.93736,0.9389,0.94761,0.94761,0.95632,0.95785,0.95837,0.96041,0.96041,0.96041,0.95888,0.95068,0.9681,0.96246,0.9722,0.9722,0.9722,0.95632,0.95785,0.95734,0.96246,0.96349,0.964,0.964,0.95478,0.96298,0.96656,0.96502,0.96298,0.96349,0.96554,0.96093,0.94966,0.95068,0.95017,0.94402,0.94915,0.95324,0.94915,0.95324,0.95119,0.95324,0.95785,0.95632,0.95427,0.97424,0.97066,0.96451,0.97066,0.97168,0.97066,0.95068,0.95837,0.94249,0.96605,0.96502,0.96465,0.97079,0.96883,0.96981,0.94676,0.93874,0.94024,0.9237,0.92997,0.93072,0.92095,0.92671,0.92972,0.9242,0.93423,0.93473,0.93022,0.93072,0.92871,0.93197,0.93373,0.94575,0.93222,0.92284,0.94225,0.94174,0.93122,0.9232,0.90717,0.89973,0.90466,0.90817
"341.1667 / 3.45",0.97344,0.96642,1,0.97995,0.98296,0.97945,0.96242,0.93807,0.9526,0.95333,0.94532,0.93197,0.94454,0.95171,0.93941,0.94197,0.95529,0.9558,0.95632,0.95683,0.95324,0.95324,0.95683,0.95427,0.94402,0.95171,0.94505,0.94505,0.94505,0.94197,0.95068,0.95273,0.95427,0.95119,0.94915,0.94761,0.94812,0.94658,0.94249,0.95017,0.94915,0.95376,0.94402,0.94505,0.96041,0.95939,0.95427,0.96093,0.95324,0.94812,0.95478,0.95632,0.93634,0.94402,0.94402,0.94761,0.94607,0.93429,0.93993,0.93839,0.9348,0.9389,0.94044,0.95324,0.94044,0.9389,0.93634,0.93429,0.96366,0.94571,0.94915,0.94719,0.92095,0.92796,0.92796,0.91944,0.92521,0.93247,0.91919,0.93197,0.93147,0.93448,0.92546,0.93799,0.92997,0.93448,0.93698,0.89614,0.90692,0.91042,0.90291,0.90317,0.90842,0.90942,0.91293,0.91193,0.88938,0.91497,0.92546,0.92345
"293.1503 / 5.13",0.97795,0.97244,0.97995,1,0.99599,0.99048,0.98797,0.94809,0.96489,0.97153,0.96323,0.95427,0.96707,0.97476,0.96605,0.95478,0.97322,0.97424,0.97271,0.96656,0.96963,0.96963,0.97373,0.97066,0.95734,0.96246,0.96246,0.96246,0.96246,0.96349,0.96451,0.96912,0.96656,0.96451,0.96502,0.96246,0.96349,0.96554,0.96298,0.96759,0.9681,0.9681,0.96093,0.96656,0.96707,0.96963,0.96298,0.97066,0.9599,0.96707,0.96861,0.97271,0.94249,0.95478,0.95376,0.96093,0.95427,0.95478,0.95888,0.94761,0.94351,0.94863,0.94966,0.9558,0.95427,0.95632,0.94966,0.95273,0.9735,0.95702,0.96391,0.96145,0.93373,0.93974,0.94124,0.92972,0.93348,0.93523,0.9455,0.94826,0.94876,0.94726,0.94976,0.94926,0.95277,0.95127,0.94826,0.91744,0.91168,0.9222,0.9222,0.91202,0.9202,0.9217,0.94225,0.93824,0.92521,0.92825,0.94525,0.94425
"345.1423 / 6.27",0.97845,0.97745,0.98296,0.99599,1,0.99599,0.98847,0.95191,0.95751,0.97596,0.96468,0.95026,0.97015,0.97168,0.95837,0.96041,0.97322,0.97527,0.97424,0.9722,0.97066,0.97066,0.97578,0.96759,0.96349,0.964,0.96656,0.96656,0.96656,0.96861,0.96502,0.96759,0.96861,0.964,0.96451,0.96195,0.96195,0.964,0.96451,0.97168,0.96963,0.97117,0.96451,0.96963,0.96861,0.96759,0.96502,0.96451,0.97015,0.97015,0.97168,0.97373,0.94249,0.95529,0.95119,0.96195,0.95478,0.95427,0.9599,0.95068,0.94454,0.94966,0.95068,0.95939,0.96246,0.95683,0.95273,0.95068,0.97546,0.95997,0.96587,0.96391,0.93723,0.94024,0.94074,0.93322,0.93147,0.93373,0.946,0.95227,0.95076,0.93824,0.95076,0.95177,0.94575,0.94926,0.94475,0.91744,0.91268,0.92771,0.92621,0.91448,0.9217,0.92521,0.94525,0.93473,0.9207,0.92629,0.94174,0.93974
"346.1979 / 4.15  M",0.97093,0.98146,0.97945,0.99048,0.99599,1,0.99248,0.94809,0.95358,0.9735,0.96081,0.94475,0.96861,0.96912,0.94966,0.96093,0.96656,0.96912,0.9681,0.96605,0.96144,0.96144,0.97066,0.96298,0.96502,0.96963,0.97066,0.97066,0.97066,0.96246,0.96041,0.96502,0.96041,0.95683,0.95734,0.9558,0.95273,0.95529,0.97117,0.97168,0.97322,0.97373,0.96246,0.96861,0.9722,0.96963,0.96349,0.96041,0.96912,0.9722,0.96759,0.96861,0.93583,0.94556,0.94044,0.95324,0.94607,0.95683,0.95939,0.94966,0.95068,0.95427,0.95529,0.96195,0.96451,0.96298,0.96554,0.96144,0.96661,0.9585,0.96538,0.96243,0.93222,0.93322,0.93373,0.92521,0.92646,0.92771,0.94199,0.95026,0.94676,0.93272,0.94475,0.94726,0.94074,0.94475,0.93874,0.91594,0.91218,0.92571,0.9237,0.91743,0.93272,0.93272,0.94625,0.94225,0.91468,0.92333,0.93924,0.93272
"435.2417 / 9.00  M",0.96091,0.98196,0.96242,0.98797,0.98847,0.99248,1,0.94046,0.9526,0.96661,0.95694,0.94174,0.964,0.96298,0.95376,0.96349,0.9599,0.96298,0.96041,0.95785,0.95785,0.95785,0.96502,0.95888,0.95478,0.96041,0.96605,0.96605,0.96605,0.95171,0.95376,0.95683,0.95324,0.95222,0.95324,0.95632,0.95068,0.95376,0.97476,0.96963,0.97373,0.97066,0.96554,0.96963,0.96041,0.9599,0.95171,0.95478,0.9558,0.97015,0.96195,0.96554,0.93224,0.93634,0.93839,0.94197,0.93788,0.96195,0.96195,0.94966,0.95068,0.95376,0.95529,0.94556,0.95632,0.95376,0.96554,0.96451,0.96366,0.95702,0.96489,0.96292,0.93072,0.92571,0.92922,0.91769,0.91493,0.91518,0.93999,0.94375,0.94325,0.93172,0.93874,0.93773,0.94124,0.93723,0.93022,0.91844,0.91418,0.9202,0.9217,0.91153,0.93723,0.93773,0.94926,0.94826,0.9242,0.91104,0.93373,0.93122
"215.1395 / 2.16",0.93282,0.93043,0.93807,0.94809,0.95191,0.94809,0.94046,1,0.94752,0.95923,0.94525,0.93497,0.92347,0.92493,0.91079,0.91518,0.92737,0.92932,0.92835,0.9264,0.92493,0.92493,0.92835,0.92201,0.9181,0.91859,0.92005,0.92005,0.92005,0.92054,0.91957,0.92201,0.92201,0.91859,0.9181,0.91762,0.91713,0.91762,0.9181,0.92591,0.92396,0.92591,0.91957,0.92249,0.92347,0.92249,0.9181,0.92005,0.92347,0.92445,0.9264,0.92786,0.90005,0.91079,0.90688,0.91566,0.91127,0.90786,0.91518,0.9064,0.90103,0.90542,0.90688,0.91566,0.91615,0.91274,0.90835,0.9064,0.96111,0.94986,0.95595,0.95408,0.92757,0.93043,0.93043,0.92375,0.92566,0.92375,0.93807,0.94046,0.93998,0.929,0.93807,0.9395,0.93521,0.93903,0.93521,0.91755,0.91182,0.91803,0.91898,0.93394,0.91278,0.91612,0.93378,0.92471,0.91898,0.91146,0.93187,0.92948
"590.2780 / 11.00  ",0.93391,0.92604,0.9526,0.96489,0.95751,0.95358,0.9526,0.94752,1,0.97876,0.96831,0.92333,0.94101,0.94855,0.93347,0.92995,0.94202,0.94101,0.93749,0.92794,0.93246,0.93246,0.93749,0.94453,0.91336,0.92945,0.92442,0.92442,0.92442,0.9204,0.93397,0.93548,0.92392,0.92342,0.92291,0.92543,0.93598,0.92895,0.93397,0.93498,0.93799,0.93448,0.92895,0.93598,0.94604,0.94453,0.93297,0.95056,0.92995,0.93799,0.93448,0.93799,0.90381,0.91135,0.91537,0.9194,0.91638,0.91839,0.92492,0.91185,0.90984,0.91487,0.91738,0.93246,0.92593,0.93397,0.9194,0.92241,0.97442,0.95946,0.97008,0.96622,0.93563,0.9435,0.94547,0.94251,0.94694,0.95235,0.9612,0.96612,0.96022,0.97104,0.95874,0.95874,0.96907,0.96563,0.96415,0.9376,0.93563,0.91694,0.92776,0.92712,0.9376,0.94153,0.95874,0.96317,0.95137,0.94691,0.97153,0.9612
"261.1275 / 5.32",0.94645,0.94301,0.95333,0.97153,0.97596,0.9735,0.96661,0.95923,0.97876,1,0.97781,0.91817,0.94704,0.94805,0.92543,0.93196,0.9395,0.94202,0.94051,0.93699,0.93397,0.93397,0.94453,0.93598,0.92744,0.93096,0.93246,0.93246,0.93246,0.93699,0.93096,0.93297,0.93146,0.92492,0.92694,0.92291,0.92342,0.92593,0.93598,0.94101,0.94051,0.94151,0.92945,0.94051,0.94,0.93799,0.93448,0.93196,0.94704,0.94051,0.94252,0.94252,0.9008,0.91487,0.90733,0.92543,0.91588,0.91688,0.9204,0.91588,0.90431,0.91035,0.91185,0.92492,0.92995,0.93246,0.9204,0.91738,0.98118,0.96622,0.97442,0.97104,0.93661,0.94153,0.94202,0.94202,0.93661,0.93563,0.96219,0.96514,0.96022,0.9435,0.96022,0.9612,0.95284,0.95579,0.95038,0.93071,0.92088,0.92727,0.92825,0.91988,0.92874,0.93366,0.95727,0.95284,0.93858,0.93822,0.95973,0.9553
