"","Fold Change","log2(FC)"
"283.0281 / 26.90",1.5365e-06,-19.312
"955.0327 / 26.79",5.547e-06,-17.46
"621.0037 / 25.30",5.6281e-06,-17.439
"227.1397 / 4.96",6.2966e-06,-17.277
"429.2712 / 12.54  MH",7.4443e-06,-17.035
"427.2544 / 12.52  M-H-",9.952e-06,-16.617
"554.2824 / 13.14",1.2328e-05,-16.308
"439.2266 / 10.13  M2H2",1.2921e-05,-16.24
"404.1487 / 16.25  M-H-",1.3449e-05,-16.182
"516.3401 / 19.15  MH",1.3728e-05,-16.153
"795.4370 / 18.17  M-H-",1.3915e-05,-16.133
"328.2237 / 9.83",1.4401e-05,-16.083
"359.1648 / 14.76  MH",1.4531e-05,-16.07
"560.7822 / 19.86  M2H2",1.5021e-05,-16.023
"743.4085 / 19.75",1.5549e-05,-15.973
"395.2276 / 13.11  MNa",1.6085e-05,-15.924
"186.9959 / 28.15",60534,15.885
"552.2658 / 13.14",1.6607e-05,-15.878
"468.7141 / 15.70  M2H2",1.7148e-05,-15.832
"525.7338 / 17.63  M2H2",1.7597e-05,-15.794
"399.2601 / 12.54  MH",1.7881e-05,-15.771
"229.1558 / 5.08  MH",1.8085e-05,-15.755
"229.1554 / 12.51  MCH3OHH",1.8193e-05,-15.746
"702.3816 / 19.79",1.8823e-05,-15.697
"514.3221 / 19.17  M-H-",1.9713e-05,-15.63
"543.3149 / 8.23",2.0061e-05,-15.605
"453.2314 / 13.14  M-H-",2.0641e-05,-15.564
"392.2184 / 13.12",2.0772e-05,-15.555
"548.7876 / 17.84  M2H2",2.1152e-05,-15.529
"689.3102 / 18.40",2.1861e-05,-15.481
"332.1398 / 14.14  MH",2.1896e-05,-15.479
"541.2974 / 8.22  M-H-",2.2203e-05,-15.459
"872.4012 / 15.07  M-H-",2.2528e-05,-15.438
"445.2674 / 14.02",2.3103e-05,-15.402
"689.1124 / 18.44  M5H5",2.4273e-05,-15.33
"326.2082 / 9.82",2.4525e-05,-15.315
"439.7266 / 10.12",2.4954e-05,-15.29
"397.2441 / 12.52  M-H-",2.5186e-05,-15.277
"558.7644 / 19.86  M-2H2-",2.5219e-05,-15.275
