"","Loading (t1)","OrthoLoading (to1)"
"100.0756 / 5.02  MH",0.010304,-0.0055815
"100.1122 / 11.13",0.0025916,0.006322
"101.0061 / 2.68",0.0092629,-0.0027713
"101.0062 / 15.57",-0.0048486,0.001246
"101.0062 / 29.29",0.0012076,-0.0018707
"101.0078 / 11.17",-0.003018,0.0027642
"101.0082 / 18.85",-0.001299,0.0032678
"101.0082 / 8.86",-0.0074433,0.0031916
"101.0083 / 14.28",-0.0036081,-0.00038153
"101.0083 / 14.97",-0.0080567,-0.0049372
"101.0083 / 16.80",-7.401e-05,0.0052425
"101.0083 / 20.10",-0.0076268,-0.0085723
"101.0084 / 13.67",-0.0053476,-0.0072805
"101.0084 / 18.06",0.0018229,-0.0038464
"101.0084 / 4.48",-0.0022612,-0.0054054
"101.0085 / 3.63",0.0050613,-0.014488
"101.0086 / 7.83",-0.0019849,-0.0021461
"101.0087 / 1.10",0.0061839,-0.015851
"101.0088 / 10.34",-0.00059388,-0.0090866
"101.0088 / 12.79",-0.0021757,-0.0043753
"101.0088 / 6.16",-0.0018467,0.0010074
"101.0222 / 2.67",-0.0036691,0.0031125
"101.0599 / 6.44",0.0022359,-0.0084859
"101.0786 / 4.98",0.007981,-0.0047731
"102.0095 / 1.11",0.0070448,-0.015521
"102.0911 / 8.83",-0.0028063,0.0087385
"102.1254 / 10.12",-0.0064092,-0.013256
"102.1277 / 13.04",-0.0017587,-0.0080565
"103.0066 / 1.11",0.0072676,-0.015603
"103.0542 / 1.86",0.004781,-0.0067108
"103.0547 / 2.80  MH",0.0082705,-0.020323
"104.1047 / 1.42",0.0016406,-0.020179
"104.9630 / 8.23",0.0030176,-0.0013806
"104.9635 / 10.89",0.0075201,-0.0058176
"104.9635 / 7.58",-0.0030172,-0.0050169
"104.9636 / 9.29",-0.0049953,-0.0039494
"104.9637 / 11.62",-0.00053971,-0.0075119
"104.9893 / 14.29",-0.0040455,-0.0061535
"104.9899 / 1.26",-0.00026261,-0.0041031
"104.9900 / 22.86",-0.0024961,0.0010862
"104.9915 / 11.72",0.0048587,-0.0054636
"104.9915 / 17.35",-0.0046375,-0.004516
"104.9922 / 15.95",-0.00021277,-0.0035985
"104.9923 / 20.29",-0.0031857,0.00054148
"104.9924 / 18.09",-0.0035869,-0.010039
"104.9924 / 21.82",-0.0060722,-0.0010579
"104.9924 / 23.98",-0.0046096,-0.0014303
"104.9924 / 27.00",0.00040167,-0.0052612
"104.9925 / 24.73",8.027e-05,-0.0011609
"104.9926 / 22.34",-0.00068068,-0.00599
"104.9926 / 26.30",0.0025452,0.0060815
"104.9926 / 27.58",-0.0051758,-0.00028104
"104.9927 / 21.06",0.0040593,-0.0056605
"105.0335 / 9.07",0.0080594,0.00014229
"105.0674 / 4.72",0.0052317,-0.0013113
"105.0694 / 1.87",-0.0098691,-0.0054246
"105.0694 / 7.48",0.00033391,-0.00528
"105.0696 / 31.82",-0.00059092,0.0060775
"105.0697 / 0.86",-0.00046623,0.0027052
"105.0697 / 31.26",0.00090365,0.00043803
"105.0698 / 2.41",0.00029557,-0.013171
"105.0698 / 5.57",0.0011834,-0.0052821
"105.0699 / 6.23",-0.0025491,-0.0094638
"105.0701 / 0.24",-0.00077101,0.0058013
"105.0701 / 3.48",-0.0070574,-0.0030336
"105.0702 / 8.63",0.0043306,-0.0056496
"105.0703 / 6.91",-0.0031195,-0.0036129
"105.9322 / 4.97",-0.0006951,-0.0046916
"105.9346 / 29.50",0.00048087,0.0064073
"105.9350 / 11.50",-0.0033816,-0.0070458
"105.9350 / 2.52",0.0075082,-0.013305
"105.9350 / 6.59",0.0030008,-0.0013073
"105.9351 / 0.60",0.0046267,0.0098726
"105.9351 / 31.75",-0.0027624,0.0070195
"105.9351 / 4.01",0.0011744,-0.0063189
"107.0483 / 8.81",0.0073144,-0.017483
"107.0488 / 2.78",0.0083878,-0.020155
"107.0490 / 22.30",0.010894,0.00095206
"107.0828 / 7.97",7.2008e-06,0.001792
"107.0829 / 31.88",-0.0057656,0.00010593
"107.0829 / 4.53",0.0022412,-0.01011
"107.0829 / 5.35",0.0068169,-0.0015384
"107.0843 / 31.35",-0.0064678,0.00076477
"107.0846 / 0.43",0.0004311,-0.0029272
"107.0849 / 3.77",0.0025368,-0.0099149
"107.0854 / 2.34",0.0065502,0.0033298
"107.0854 / 6.45",0.0036866,0.0033705
"108.0441 / 9.67",-0.0051636,-0.0041737
"109.1004 / 15.36",-0.002314,0.0077272
"110.0351 / 4.09",-0.007933,-0.019376
"110.0602 / 5.66",0.0044517,-0.01055
"110.0603 / 7.31",-0.0073935,-0.007601
"110.0715 / 1.00",-0.003368,-0.020959
"110.9756 / 1.86",-0.014791,0.0098008
"111.0072 / 2.02",0.0074318,0.00010289
"111.0439 / 6.40",0.0012616,-0.0085883
"111.0624 / 7.24",-0.0045377,-0.0036518
"112.0502 / 7.60",0.0049261,-0.018789
"112.0507 / 2.05",0.0023953,-0.016948
"112.1119 / 4.02",0.011303,-0.012645
"112.1120 / 1.00  MH",-0.0092355,-0.015404
"113.0230 / 1.81",0.0073527,0.0090735
"113.0344 / 2.54  MH",0.0085641,-0.016253
"113.0593 / 0.47",-0.00043593,0.0074637
"114.0660 / 1.45  MH",0.0095772,-0.013047
"114.0662 / 2.14",0.0091347,-0.0057388
"114.0911 / 9.60",0.010354,-0.0067223
"114.0915 / 8.26  MH",-0.0060861,0.0088249
"114.1279 / 6.36",0.011174,-0.0096278
"114.9453 / 29.67",0.0071314,-0.0006053
"114.9466 / 14.19",-0.003437,0.0019972
"114.9467 / 11.58",-0.00066081,-0.0093666
"114.9467 / 15.55",-0.0021313,-0.0084923
"114.9470 / 17.41",-0.0022584,-0.0039018
"114.9472 / 8.33",-0.0024326,-0.0019447
"114.9473 / 16.18",9.8731e-05,-0.0031892
"114.9474 / 10.48",-0.0085179,-0.0077478
"114.9474 / 12.29",-0.0027232,-0.012275
"114.9475 / 13.27",-0.00070824,-0.0047655
"114.9476 / 29.11",0.0015716,-0.0033885
"114.9476 / 7.82",-0.0074272,0.0029884
"114.9476 / 9.32",-0.0018331,-0.0070554
"114.9476 / 9.95",-0.0041449,-0.0084736
"114.9478 / 2.06",-0.0066516,-0.00080895
"114.9478 / 6.55",0.00021571,-0.010012
"114.9480 / 18.43",-0.0042828,-0.0050635
"114.9481 / 2.66  MH",-0.005519,0.0053322
"114.9482 / 0.04",-0.00035526,0.0071683
"114.9482 / 5.26",-0.0005718,-0.0016132
"114.9483 / 28.52  MH",-0.0032882,0.0094784
"114.9483 / 3.95",-0.0032164,0.0013326
"114.9483 / 31.62",0.0011867,0.0033301
"114.9484 / 4.49",-0.0032042,-0.0015775
"115.0243 / 1.11  MCH3OHH",0.0072232,-0.014799
"115.0944 / 8.28",-0.0031556,0.010109
"116.0705 / 6.09",-0.0034907,-0.0072308
"116.0709 / 1.51  MCH3OHH",-0.0055025,-0.020326
"116.0709 / 4.99",-0.0051926,-0.017228
"116.9634 / 1.83",-0.0070702,0.010332
"116.9833 / 18.25",-0.0021179,0.001932
"116.9834 / 17.15",0.002335,0.0024336
"116.9834 / 5.73",6.1999e-05,-0.0046271
"116.9835 / 29.45",0.0071805,-0.0010585
"116.9850 / 18.77",-0.0010548,-0.0052434
"116.9854 / 1.03",-0.012761,0.010567
"116.9855 / 2.64",0.0069657,-0.011506
"116.9858 / 15.52",-0.0017659,-0.0045878
"116.9859 / 31.34",0.0017106,0.004727
"116.9860 / 13.79",0.0011951,-0.0022974
"116.9861 / 0.35",-0.0072219,0.0044224
"116.9861 / 30.15",-0.0049527,-0.0072149
"116.9861 / 6.24",-0.0019247,-0.0077785
"116.9861 / 8.13",0.0036132,-0.0044588
"116.9862 / 11.39",-0.0013512,-0.012092
"116.9862 / 15.00",-0.0019883,-0.0072807
"116.9862 / 16.40",-0.0030658,-0.00058314
"116.9863 / 10.68",0.0012838,0.0031463
"116.9863 / 14.31",-0.008566,-0.0051268
"116.9863 / 4.20",-0.0012156,-0.0058117
"116.9864 / 3.49",0.001071,-0.0050948
"116.9864 / 9.46",-0.0029058,-0.0031747
"116.9865 / 7.44",-0.0010263,-0.0049744
"117.0360 / 2.34",-0.00083913,0.0084072
"117.0696 / 20.44",-0.0024145,-1.6259e-05
"117.0698 / 17.93",0.0015536,0.0010338
"118.0645 / 4.27",0.0081054,-0.019607
"118.0652 / 3.04",0.0013306,-0.017566
"118.0860 / 1.55",0.0076361,-0.018368
"119.0163 / 5.77",0.00031931,-0.0042318
"119.0172 / 3.75",-0.0011538,-0.01578
"119.0194 / 1.11",0.007457,-0.014528
"119.0349 / 3.83",-0.0090221,-0.019917
"119.0488 / 6.66",0.0068868,-0.016456
"119.0495 / 2.10  MH",0.008529,-0.018333
"119.0855 / 22.10",0.00068784,-0.0065602
"120.0212 / 1.04",0.0079051,-0.013866
"120.0445 / 3.03",0.001583,-0.016663
"120.0804 / 12.35",-0.0021043,-0.02036
"120.0806 / 8.31",-0.0047236,-0.01426
"120.0808 / 12.98",-0.011879,-0.014126
"120.0809 / 2.77  MNH4",0.0071366,-0.020601
"120.0809 / 5.55",-0.013788,-0.013048
"120.0809 / 6.29",0.0032225,-0.022294
"120.0810 / 3.76",-0.012319,-0.014051
"120.0811 / 11.13",-0.0051945,-0.018311
"121.0165 / 1.05",0.0077866,-0.014451
"121.0284 / 6.53",0.003559,-0.0080827
"121.0286 / 10.06",0.011735,0.001686
"121.0395 / 2.88  MH",-0.00090278,0.0027408
"121.0650 / 1.86",0.0049102,-0.014404
"121.0841 / 2.80",0.0078884,-0.020422
"121.0985 / 2.78",0.0063394,-0.017944
"121.0986 / 5.39",-0.0048191,-0.0060364
"121.0991 / 10.71",0.00032254,-0.007287
"121.1007 / 1.87",-0.011268,0.0018719
"121.1009 / 9.14",-0.0051662,-0.0077994
"121.1010 / 8.57",-0.0034431,0.0049183
"121.1012 / 11.25  MH",-0.0021072,-0.0085328
"121.1012 / 6.47  MH",-0.0064388,-0.0010196
"121.1013 / 0.36  MH",-0.00026054,-0.00071177
"121.1014 / 7.38",0.0023278,-0.0025003
"121.1015 / 3.65",-0.00062136,-0.0078745
"122.0575 / 5.02  MNa",0.010604,-0.0038826
"123.0437 / 6.69",0.0078804,-0.0077207
"123.0445 / 2.10",0.0084799,-0.018074
"123.0548 / 3.51",-0.0052463,-0.004874
"123.0554 / 4.10  MH",-0.00082887,-0.0033306
"123.0777 / 19.48",0.0081739,0.017482
"124.0244 / 1.08",0.007862,-0.01181
"124.0246 / 0.27",0.0084533,0.0023505
"124.0389 / 2.77",-0.0094121,-0.012173
"124.0465 / 2.09",0.009187,-0.016828
"124.0510 / 13.39",0.0095893,-0.0076594
"124.0586 / 4.11",0.0009241,-0.005129
"124.0754 / 5.20",0.0060152,-0.0045582
"126.0218 / 1.04",0.0079119,-0.011807
"126.0915 / 10.44  MH",0.010145,-0.015292
"126.1280 / 13.57",0.011427,-0.0032093
"127.0390 / 6.82  MH",0.0076965,-0.0042587
"127.0504 / 4.07",0.011529,-0.013977
"128.9852 / 1.85",-0.013558,0.013162
"129.0185 / 1.65",0.009053,-0.010695
"129.0659 / 10.59",0.0062382,-0.01023
"129.1021 / 1.04",-0.0049731,-0.018384
"129.1385 / 1.00  MNH4",-0.0095462,-0.01586
"130.0498 / 4.13",0.006625,-0.016659
"130.0500 / 11.84",0.0047635,-0.0097567
"130.0501 / 1.43  MH",0.0098459,-0.016254
"130.0501 / 10.59  MH",0.0059369,-0.015101
"130.0502 / 2.26",0.0051277,-0.017884
"130.0649 / 18.67",0.00058315,-0.01193
"130.0652 / 14.84",0.0068885,-0.0031465
"130.0861 / 1.12  MH",0.0034962,-0.020892
"130.0868 / 1.80",0.008385,-0.015051
"130.1562 / 0.11",0.0069654,0.0036059
"130.1562 / 10.18",0.0016562,0.010675
"130.1579 / 4.88",-0.00012899,0.0015805
"130.1589 / 8.84",0.00052347,-0.010634
"130.1589 / 9.37",0.0034115,-0.00664
"130.9632 / 2.66",0.006555,0.013953
"130.9633 / 0.43",0.0016996,-0.0055259
"130.9634 / 31.83",-0.00067491,-9.694e-05
"130.9984 / 17.69",0.0048054,0.0022033
"130.9985 / 0.29",0.00010763,0.004165
"130.9988 / 12.84",-0.00021456,-0.0090434
"130.9993 / 14.05",-0.0072619,-0.00059996
"131.0493 / 2.80",0.0081467,-0.020247
"132.0445 / 2.30  MNH4",0.0057298,-0.017915
"132.0775 / 1.50",0.012223,-0.015285
"132.0809 / 4.22",0.007949,-0.019527
"132.1025 / 1.91",0.0043762,-0.021824
"132.9043 / 0.47",0.0068872,0.0061581
"132.9554 / 16.23",-0.0030207,-0.0073895
"132.9554 / 4.53",0.0062984,0.0056618
"132.9555 / 29.53",-0.00037124,0.0068192
"132.9567 / 17.82",-0.0065219,-0.0067119
"132.9579 / 13.28",-0.0037401,-0.007902
"132.9582 / 7.42",-0.00064522,-0.0010354
"132.9582 / 9.59",0.0060503,0.00038189
"132.9583 / 12.07",-0.0076144,-0.012455
"132.9584 / 10.23",0.00031388,-0.0058222
"132.9584 / 8.42",0.00020566,-4.6993e-06
"132.9585 / 6.44",-5.9328e-05,-0.0057375
"132.9586 / 2.69",0.0041086,0.0022181
"132.9587 / 0.02",0.00063197,0.0035385
"132.9587 / 1.87",0.0029294,0.0029178
"132.9588 / 0.80",0.0030856,0.0080018
"132.9588 / 19.96",-0.0055285,-0.0095948
"132.9589 / 14.28",0.0037301,-0.0051071
"132.9589 / 3.68",0.00090078,0.0093506
"132.9590 / 12.68",-0.0090831,-0.01119
"132.9591 / 5.20",-0.0036109,-0.0082948
"133.0315 / 1.77  MH",0.0072459,-0.016721
"133.0318 / 1.04",0.0072483,-0.014314
"133.9596 / 8.44",0.0017003,-0.0025632
"133.9608 / 9.32",-0.003651,-0.0057867
"134.0602 / 6.89",0.0037465,-0.0051787
"134.9298 / 1.80",-0.0024651,0.0082207
"135.0028 / 1.76",-0.0016528,0.017963
"135.0303 / 3.15  MH",-0.0022982,-0.010872
"135.0806 / 17.12",-0.00082638,0.0080397
"136.0146 / 4.13  MH",-0.008544,-0.018892
"136.0394 / 5.38",0.0077845,0.0027096
"136.0399 / 7.76  MH",0.01278,-0.010172
"136.0480 / 1.45  MNa",0.014246,-0.0087287
"136.0605 / 3.72",0.0041574,-0.019338
"136.0623 / 5.91",0.003922,-0.015386
"136.0736 / 8.30  MNa",-0.0064818,0.0028245
"136.0754 / 6.11",-0.00012401,-0.01196
"136.0757 / 10.59",0.0048153,-0.017697
"136.0759 / 7.69",0.0020787,-0.014318
"136.0762 / 2.10  MNH4",0.007629,-0.01963
"136.0762 / 3.04",-0.00049891,-0.017461
"136.0762 / 4.48",0.0030651,-0.01793
"137.0458 / 4.97",-0.0059167,-0.0079744
"137.0462 / 5.97",-0.0030059,-0.014945
"137.0464 / 4.45",-0.0041116,-0.018357
"137.0465 / 3.88  MH",-0.0090753,-0.019453
"137.0596 / 6.92",0.0097806,-0.0097732
"137.0599 / 9.88",0.0010367,-0.012392
"137.0602 / 4.83",-0.0015353,-0.016818
"137.0792 / 2.16",0.0082702,-0.019154
"138.0480 / 3.92",-0.0093802,-0.019188
"138.0549 / 9.31",-0.00055338,-0.00077514
"138.0551 / 1.80",0.0047031,-0.016425
"138.0553 / 10.70",-0.0058322,-0.014022
"138.0660 / 2.88  MNH4",0.00070915,-0.014065
"138.0664 / 12.44",0.012133,-0.0065282
"138.0666 / 17.46  M",0.011874,-0.0055195
"139.0019 / 2.02",0.0065838,-0.0056555
"139.0389 / 13.51",0.0037308,0.010457
"139.0391 / 10.09",0.012482,-0.00064776
"139.0498 / 4.10",-0.0032664,-0.017995
"139.0501 / 5.59",0.0094228,-0.016936
"139.0723 / 17.68",0.011414,0.014789
"139.0751 / 17.02  MH",0.0065617,0.014948
"139.1125 / 22.62",0.0063089,0.007002
"140.0165 / 5.43",-0.0065888,-0.0094786
"140.0694 / 1.53",0.011988,-0.01166
"140.0707 / 6.96  MH",0.0065358,-0.0053634
"141.0185 / 1.65",0.008334,0.004479
"141.0367 / 1.04",0.0052702,-0.015365
"141.0404 / 2.87",0.010522,-0.010239
"141.0659 / 1.51",0.0086177,-0.015464
"142.0612 / 3.28",0.010782,-0.011316
"142.1224 / 1.87",-0.0057096,-0.011147
"142.1226 / 3.49",-0.005077,-0.00024098
"143.0156 / 2.71",0.0057425,0.0057124
"143.0158 / 15.99",-0.0031255,0.0015347
"143.0181 / 15.24",-0.0026627,0.00093226
"143.0183 / 6.99",0.010225,0.0016175
"143.0186 / 19.53",-0.00014314,-0.00013897
"143.0187 / 8.20  MH",-0.00074061,0.0079918
