"","Score (t1)","OrthoScore (to1)"
"CM1",57.857,2.3452
"CM2",33.114,20.49
"CM3",57.333,1.0766
"CM4",62.886,-22.677
"CM5",62.272,-3.2465
"CO1",54.761,-9.4462
"CO2",53.709,-1.1278
"CO3",55.819,2.2406
"CO4",62.477,-4.8578
"CO5",61.936,-0.40308
"CY1",42.967,3.0499
"CY2",46.511,4.5636
"CY3",51.88,6.2755
"CY4",49.623,-2.5824
"CY5",54.298,4.2984
"M2",-35.664,-40.471
"M3",-65.886,98.428
"M4",-60.218,-21.43
"M5",-66.432,39.286
"M6",-48.666,-39.175
"O1",-47.34,-37.027
"O2",-34.986,68.966
"O3",-55.314,80.506
"O5",-61.548,-69.368
"O6",-38.401,27.27
"O8",-61.878,-44.429
"Y2",-54.932,-58.803
"Y3",-48.737,-7.436
"Y4",-60.256,23.324
"Y5",-48.187,-61.51
"Y6",-18.999,41.868
