"","p[1]","p(corr)[1]"
"100.0756 / 5.02  MH",57.308,0.55732
"100.1122 / 11.13",24.045,0.14017
"101.0061 / 2.68",10.447,0.50099
"101.0062 / 15.57",-63.314,-0.26224
"101.0062 / 29.29",16.686,0.065314
"101.0078 / 11.17",-44.667,-0.16323
"101.0082 / 18.85",-18.48,-0.070256
"101.0082 / 8.86",-102.95,-0.40258
"101.0083 / 14.28",-49.895,-0.19515
"101.0083 / 14.97",-113.73,-0.43575
"101.0083 / 16.80",-0.87106,-0.0040029
"101.0083 / 20.10",-126.97,-0.4125
"101.0084 / 13.67",-75.363,-0.28923
"101.0084 / 18.06",28.378,0.098591
"101.0084 / 4.48",-31.771,-0.1223
"101.0085 / 3.63",44.492,0.27374
"101.0086 / 7.83",-29.788,-0.10736
"101.0087 / 1.10",24.684,0.33446
"101.0088 / 10.34",-7.2765,-0.03212
"101.0088 / 12.79",-25.95,-0.11768
"101.0088 / 6.16",-18.196,-0.09988
"101.0222 / 2.67",-8.3658,-0.19845
"101.0599 / 6.44",29.369,0.12093
"101.0786 / 4.98",101.14,0.43166
"102.0095 / 1.11",30.305,0.38102
"102.0911 / 8.83",-39.223,-0.15178
"102.1254 / 10.12",-73.736,-0.34665
"102.1277 / 13.04",-24.167,-0.095121
"103.0066 / 1.11",32.41,0.39307
"103.0542 / 1.86",32.624,0.25858
"103.0547 / 2.80  MH",34.43,0.44731
"104.1047 / 1.42",5.0185,0.088733
"104.9630 / 8.23",29.677,0.16321
"104.9635 / 10.89",84.9,0.40673
"104.9635 / 7.58",-22.602,-0.16319
"104.9636 / 9.29",-52.881,-0.27018
"104.9637 / 11.62",-6.2554,-0.029191
"104.9893 / 14.29",-52.307,-0.21881
"104.9899 / 1.26",-0.14258,-0.014203
"104.9900 / 22.86",-33.693,-0.135
"104.9915 / 11.72",69.514,0.26278
"104.9915 / 17.35",-70.871,-0.25082
"104.9922 / 15.95",-3.0158,-0.011508
"104.9923 / 20.29",-51.996,-0.1723
"104.9924 / 18.09",-53.755,-0.194
"104.9924 / 21.82",-55.843,-0.32842
"104.9924 / 23.98",-11.693,-0.24932
"104.9924 / 27.00",5.5898,0.021725
"104.9925 / 24.73",0.12878,0.0043414
"104.9926 / 22.34",-6.3622,-0.036815
"104.9926 / 26.30",49.644,0.13766
"104.9926 / 27.58",-4.8982,-0.27993
"104.9927 / 21.06",64.89,0.21955
"105.0335 / 9.07",87.262,0.4359
"105.0674 / 4.72",78.783,0.28296
"105.0694 / 1.87",-18.185,-0.53378
"105.0694 / 7.48",3.2922,0.01806
"105.0696 / 31.82",-5.5313,-0.03196
"105.0697 / 0.86",-0.78406,-0.025216
"105.0697 / 31.26",9.599,0.048874
"105.0698 / 2.41",1.5163,0.015986
"105.0698 / 5.57",14.274,0.064008
"105.0699 / 6.23",-22.823,-0.13787
"105.0701 / 0.24",-11.874,-0.0417
"105.0701 / 3.48",-99.922,-0.3817
"105.0702 / 8.63",53.254,0.23422
"105.0703 / 6.91",-26.858,-0.16872
"105.9322 / 4.97",-6.6662,-0.037595
"105.9346 / 29.50",0.68667,0.026008
"105.9350 / 11.50",-41.056,-0.18289
"105.9350 / 2.52",68.821,0.40609
"105.9350 / 6.59",20.772,0.1623
"105.9351 / 0.60",47.692,0.25024
"105.9351 / 31.75",-22.217,-0.14941
"105.9351 / 4.01",15.846,0.063517
"107.0483 / 8.81",59.453,0.3956
"107.0488 / 2.78",37.061,0.45366
"107.0490 / 22.30",96.185,0.58919
"107.0828 / 7.97",0.051072,0.00038946
"107.0829 / 31.88",-63.699,-0.31183
"107.0829 / 4.53",27.278,0.12122
"107.0829 / 5.35",77.473,0.3687
"107.0843 / 31.35",-62.917,-0.34981
"107.0846 / 0.43",4.3399,0.023316
"107.0849 / 3.77",33.823,0.1372
"107.0854 / 2.34",75.814,0.35427
"107.0854 / 6.45",40.572,0.19939
"108.0441 / 9.67",-62.593,-0.27927
"109.1004 / 15.36",-17.282,-0.12516
"110.0351 / 4.09",-45.484,-0.42906
"110.0602 / 5.66",66.075,0.24078
"110.0603 / 7.31",-154.85,-0.39988
"110.0715 / 1.00",-28.937,-0.18216
"110.9756 / 1.86",-45.372,-0.79996
"111.0072 / 2.02",62.598,0.40195
"111.0439 / 6.40",18.221,0.068237
"111.0624 / 7.24",-73.033,-0.24542
"112.0502 / 7.60",43.928,0.26643
"112.0507 / 2.05",11.566,0.12955
"112.1119 / 4.02",129.83,0.61134
"112.1120 / 1.00  MH",-100.13,-0.49951
"113.0230 / 1.81",59.096,0.39768
"113.0344 / 2.54  MH",34.669,0.46319
"113.0593 / 0.47",-4.3424,-0.023578
"114.0660 / 1.45  MH",39.685,0.51799
"114.0662 / 2.14",58.5,0.49406
"114.0911 / 9.60",173.58,0.56
"114.0915 / 8.26  MH",-36.018,-0.32917
"114.1279 / 6.36",121.75,0.60437
"114.9453 / 29.67",80.187,0.3857
"114.9466 / 14.19",-47.597,-0.18589
"114.9467 / 11.58",-8.8653,-0.03574
"114.9467 / 15.55",-29.994,-0.11527
"114.9470 / 17.41",-31.117,-0.12215
"114.9472 / 8.33",-31.935,-0.13157
"114.9473 / 16.18",1.4494,0.0053399
"114.9474 / 10.48",-118.35,-0.46069
"114.9474 / 12.29",-38.866,-0.14728
"114.9475 / 13.27",-9.9808,-0.038306
"114.9476 / 29.11",26.346,0.085002
"114.9476 / 7.82",-86.57,-0.4017
"114.9476 / 9.32",-24.079,-0.099144
"114.9476 / 9.95",-49.473,-0.22418
"114.9478 / 2.06",-105.58,-0.35976
"114.9478 / 6.55",2.0675,0.011667
"114.9480 / 18.43",-57.239,-0.23164
"114.9481 / 2.66  MH",-83.561,-0.2985
"114.9482 / 0.04",-5.1491,-0.019215
"114.9482 / 5.26",-7.5588,-0.030926
"114.9483 / 28.52  MH",-2.5651,-0.17785
