"","Overall"
"164.0732 / 11.06",100
"297.1945 / 13.72  MNa",97.815
"192.0663 / 10.84",94.717
"210.0396 / 4.48",93.615
"275.2132 / 13.57  MH",93.565
"276.0185 / 10.87",92.418
"130.0885 / 8.37",90.722
"306.0591 / 8.40",89.808
"340.0431 / 10.95",88.806
"689.3102 / 18.40",88.401
"276.2160 / 13.76",88.283
"208.0612 / 7.60",88.023
"145.0631 / 2.11  M-H-",87.666
"374.9936 / 25.27",87.413
"224.0562 / 8.37",86.09
"675.1069 / 18.60",86.018
"158.0814 / 8.34",85.202
"282.1005 / 9.44",84.812
"285.1315 / 8.34  2MNa-2H-",83.153
"861.3925 / 18.36",81.235
"861.1418 / 18.39",80.943
"248.1162 / 7.35",80.76
"234.1001 / 3.78  MAcO-H-",80.527
"101.0609 / 10.72",79.467
"843.3838 / 18.46",79.24
"843.6325 / 18.49",79.158
"298.0956 / 6.28",79.07
"203.0839 / 4.94",78.95
"843.8828 / 18.46",78.626
"689.1124 / 18.44  M5H5",78.08
"284.1127 / 9.44",77.819
"349.1381 / 5.09  MH",76.3
"162.0550 / 7.64",75.526
"174.0782 / 3.84  M-H-",75.51
"300.1079 / 6.34",75.322
"198.1128 / 16.23",74.708
"843.1252 / 18.53  M4H4",74.293
"326.1245 / 3.16  MAcO-H-",74.211
"201.0375 / 2.18  2MNa-2H-",73.828
"356.0360 / 7.73  M-H-",73.545
"688.9154 / 18.36  M5H5",73.115
"250.1290 / 7.36  MH",72.752
"96.9604 / 3.11",72.722
"793.7406 / 20.06",72.646
"225.0365 / 13.38",72.51
"674.9046 / 18.50  M5H5",72.325
"493.2815 / 8.01  2MH",71.16
"304.0666 / 2.52",70.836
"367.1504 / 5.08",70.464
"674.7088 / 18.49  M5H5",70.432
"316.0608 / 8.34",70.346
"184.0968 / 11.16",70.217
"176.0273 / 14.68",70.178
"350.1192 / 3.19",70.137
"396.1849 / 2.74",69.799
"149.0236 / 3.08",69.769
"302.0540 / 2.51",69.596
"203.0832 / 14.04",69.596
"231.0714 / 13.01",68.759
"860.8867 / 18.43  M4H4",68.747
"250.1079 / 3.59  MCH3OHH",68.563
"198.1131 / 2.22  MH",68.561
"190.1075 / 3.76",68.47
"336.1647 / 2.41",68.407
"305.1152 / 4.95",68.316
"236.1133 / 3.76",68.313
"407.0977 / 8.29",68.21
"515.2814 / 7.58",68.074
"196.0608 / 2.54",67.979
"81.0701 / 4.00",67.389
"180.0681 / 7.79",67.116
"266.1027 / 2.44  MH",66.923
"206.0825 / 3.58",66.341
"258.0952 / 3.73",66.196
"312.1562 / 11.99  M-H-",66.073
"399.2601 / 12.54  MH",66.009
"232.0971 / 3.60",65.628
"259.1402 / 2.54",65.442
"328.2237 / 9.83",65.416
"697.9073 / 18.79  M5H5",65.302
"292.1415 / 2.13  2M-",65.198
"153.1275 / 5.25",65.084
"232.1196 / 2.13",64.888
"262.1835 / 19.21",64.444
"872.3864 / 18.76",64.126
"844.3766 / 18.58",64.124
"266.1039 / 3.19  M-H-",63.564
"230.0137 / 7.39  M-H-",63.538
"587.1252 / 7.35  M-H-",63.457
"258.0400 / 11.52",63.453
"126.1280 / 13.57",63.452
"294.1006 / 1.87  MCH3OHH",63.398
"273.1974 / 13.51",63.307
"872.1331 / 18.76",63.176
"149.0237 / 4.42",62.742
"218.9973 / 6.63",62.397
"232.0643 / 11.75  MH",62.358
"264.1965 / 19.21",62.305
"273.1556 / 1.81",61.736
"342.1187 / 2.29",61.735
"413.2048 / 13.02  M-H-",61.143
"321.1110 / 12.25",60.983
"258.0439 / 11.02",60.91
"248.0584 / 11.45",60.901
"240.0506 / 2.61",60.838
"329.1436 / 3.26",60.637
"331.1102 / 8.35",60.363
"307.1294 / 4.91",60.276
"348.1069 / 3.19",60.243
"225.0372 / 12.47",60.095
"216.1236 / 2.25  MH",60.043
"216.0993 / 1.59  MCH3OHH",59.971
"427.0103 / 1.88  MNa-2H-",59.828
"198.0874 / 2.93  MNH4",59.546
"263.0878 / 1.59",59.397
"198.0761 / 4.72",59.353
"284.1143 / 2.28  MCH3OHH",59.347
"326.0884 / 5.71  M-H-",59.152
"174.1242 / 2.46",59.037
"320.0627 / 2.39",58.944
"344.0398 / 6.88",58.868
"151.0400 / 18.37",58.861
"415.2203 / 13.02",58.689
"272.1109 / 7.31  MNa",58.68
"532.9817 / 1.07",58.624
"348.0697 / 5.77  MNa-2H-",58.456
"144.1020 / 3.84",58.389
"299.0068 / 8.50",58.273
"310.1300 / 3.21  MCH3OHH",58.207
"375.1145 / 3.67",58.167
"267.9368 / 8.76",58.07
"204.1233 / 7.36",58.058
"346.0556 / 6.88",57.96
"174.9933 / 16.74",57.925
"160.1081 / 1.93",57.743
"295.1116 / 8.77  M-H-",57.734
"262.9822 / 8.57",57.706
"242.1319 / 1.81",57.686
"258.1342 / 2.13",57.616
"268.1186 / 3.19  MCH3OHH",57.587
"81.0699 / 5.11",57.539
"250.1439 / 7.08",57.345
"414.9546 / 1.10",57.195
"285.1327 / 2.34",57.168
"435.9652 / 8.68",57.126
"232.9767 / 17.33",56.842
"533.9850 / 1.10",56.84
"138.0666 / 17.46  M",56.821
"250.0716 / 11.49",56.817
"261.0627 / 14.11",56.797
"276.1551 / 1.86  MNH4",56.738
"174.0573 / 11.45",56.559
"204.0683 / 11.45",56.554
"387.0256 / 8.20",56.52
"153.1270 / 6.41  MCH3OHH",56.5
"379.1604 / 17.70  M-H-",56.256
"574.1308 / 12.23",56.125
"238.1080 / 2.28",55.902
"196.0917 / 17.48",55.817
"264.0535 / 10.39",55.816
"487.1289 / 2.60  2M-H-",55.599
"266.0660 / 10.38",55.563
"405.0292 / 1.88  M-H-",55.451
"287.1384 / 8.37",55.375
"872.6324 / 18.79",55.342
"273.1698 / 21.01",55.314
"292.1921 / 14.79  MH",55.225
"158.0832 / 9.93",55.168
"532.1657 / 14.57",54.959
"298.0959 / 14.95",54.927
"194.0824 / 4.82",54.904
"462.1027 / 10.28",54.867
"697.7069 / 18.75  M5H5",54.847
"225.0733 / 3.44",54.772
"162.0661 / 3.16",54.745
"202.1089 / 2.13",54.73
"328.1394 / 3.19",54.711
"218.0471 / 11.45",54.689
"302.0556 / 8.25  2MNH4",54.641
"292.1482 / 1.79",54.579
"460.2252 / 11.83",54.419
"344.1341 / 2.29",54.243
"150.0915 / 4.86",54.071
"114.0911 / 9.60",53.961
"276.1987 / 21.97",53.927
"485.1712 / 8.36",53.91
"389.1496 / 5.17  MNH4",53.886
"222.1136 / 3.20",53.885
"364.8746 / 3.94",53.857
"253.1202 / 7.25",53.592
"144.0653 / 6.99  MNH4",53.57
"211.1444 / 7.33",53.564
"129.0185 / 1.65",53.448
"151.0512 / 5.81",52.978
"571.1296 / 10.27",52.969
"872.8851 / 18.82",52.88
"278.1253 / 1.60",52.863
"408.1384 / 2.73",52.854
"534.1679 / 14.59",52.81
"230.1386 / 2.10  MH",52.724
"208.1342 / 4.84  MH",52.692
"295.1581 / 2.09  MH",52.626
"375.9944 / 1.10",52.585
"294.1548 / 2.15  MH",52.518
"325.0890 / 5.12",52.513
"138.0664 / 12.44",52.506
"189.0774 / 11.25",52.482
"179.0210 / 6.48",52.442
"164.0337 / 14.11",52.341
"211.0839 / 8.23",51.969
"150.0569 / 7.40",51.897
"199.1084 / 6.99",51.812
"154.0513 / 7.76",51.8
"534.1836 / 14.56",51.615
"290.0992 / 3.19",51.551
"192.1022 / 4.97",51.541
"171.0879 / 3.80",51.415
"224.0670 / 7.05",51.406
"236.0944 / 4.95",51.377
"188.1293 / 2.09",51.31
"381.0084 / 7.68",51.285
"173.0104 / 2.11",51.274
"180.0615 / 14.08",51.236
"201.0262 / 27.15",51.231
"374.0409 / 1.82",51.114
"236.0334 / 6.96  MNH4",51.077
"321.0050 / 15.21",50.921
"316.1365 / 2.09  MNa",50.837
"588.1083 / 10.48",50.564
"590.1251 / 10.47",50.53
"213.0866 / 2.54  MCH3OHH",50.331
"326.1237 / 2.29",50.3
"234.1350 / 2.09  MCH3OHH",50.298
"301.1416 / 7.64",50.283
"115.0033 / 1.64",50.276
"280.1393 / 1.62  MH",50.221
"190.1189 / 1.83",50.098
"571.3974 / 13.58",50.089
"427.1584 / 19.81  MNa-2H-",50.066
"269.1218 / 3.17",50.017
"307.0119 / 1.12",49.952
"404.1594 / 2.26",49.823
"153.1278 / 2.37",49.759
"350.0850 / 5.72",49.751
"298.0816 / 14.47",49.69
"227.1397 / 4.96",49.62
"327.0894 / 5.69",49.614
"232.0284 / 7.44",49.605
"245.1872 / 6.84  MH",49.56
"232.9741 / 8.65",49.448
"261.0743 / 17.29",49.415
"182.0754 / 14.15",49.256
"281.0516 / 7.95",49.169
"218.9983 / 5.61",49.128
"237.0814 / 7.62",49.125
"181.0720 / 2.24",49.095
"106.0430 / 8.86",49.006
"230.1160 / 4.81  MNa",48.999
"531.2774 / 8.38",48.864
"572.1156 / 12.18",48.79
"244.1543 / 6.27",48.786
"254.0466 / 11.78  MNa",48.766
"515.0424 / 2.08",48.704
"261.0603 / 13.38",48.678
"401.1422 / 17.70  MNa-2H-",48.666
"174.9930 / 8.32",48.661
"251.1758 / 12.16",48.66
"195.1141 / 3.74",48.635
"598.2613 / 7.60",48.626
"175.0254 / 1.63",48.616
"491.3369 / 8.08  2MNa",48.603
"144.0658 / 2.54",48.593
"381.1034 / 14.11  2MNa-2H-",48.451
"245.1606 / 2.96  MNH4",48.44
"314.1737 / 14.79  MNa",48.381
"239.1003 / 4.85",48.375
"121.0650 / 1.86",48.367
"243.8807 / 7.44",48.355
"231.0164 / 7.48",48.345
"238.1080 / 4.90",48.324
"116.0721 / 4.32",48.188
"259.1190 / 16.35  M-H-",48.164
"407.0302 / 2.05",48.032
"378.2357 / 21.95",47.997
"281.0510 / 21.49",47.938
"127.0504 / 4.07",47.886
"372.0638 / 5.94",47.855
"614.9833 / 1.13",47.83
"431.9404 / 29.59",47.794
"164.0338 / 13.38",47.749
"170.0446 / 2.54",47.687
"338.9682 / 25.75  MH",47.682
"152.0710 / 5.66",47.658
"262.9818 / 10.01",47.657
"378.1748 / 2.74",47.642
"482.7590 / 8.92",47.583
"545.0168 / 22.20",47.46
"279.0947 / 4.62  MNa",47.454
"427.2257 / 3.06",47.415
"231.1456 / 2.14",47.304
"195.0527 / 9.33",47.297
"517.2679 / 7.96  2MNa",47.275
"463.0116 / 7.80",47.257
"349.1877 / 21.02  MAcO-H-",47.127
"146.0826 / 4.79",47.082
"456.9956 / 1.13  2MNa-2H-",47.047
"258.0611 / 2.52",47.046
"589.1116 / 10.48",46.998
"142.0612 / 3.28",46.967
"315.0726 / 4.47",46.945
"397.2441 / 12.52  M-H-",46.941
"587.1574 / 4.29  2MNa-2H-",46.891
"281.0530 / 2.83",46.881
"297.0486 / 14.01",46.878
"385.1349 / 4.69",46.855
"181.0731 / 14.12",46.841
"381.1033 / 13.38  2MNa-2H-",46.818
"370.1134 / 13.21  MCl-",46.817
"319.1087 / 8.81  MNa",46.784
"182.0745 / 13.40",46.774
"187.1079 / 6.16",46.771
"388.7287 / 3.76  M2H2",46.715
"410.1929 / 11.48",46.711
"537.8793 / 26.92",46.709
"279.0411 / 12.47",46.678
"345.1554 / 14.83",46.624
"245.1872 / 5.71",46.595
"336.1535 / 11.98  MNa",46.587
"214.0715 / 3.32  MH",46.548
"651.2652 / 14.68",46.547
"146.0604 / 11.12",46.541
"301.1412 / 8.16",46.456
"402.1834 / 18.11",46.329
"145.0149 / 1.95  M-H-",46.294
"287.2448 / 1.42",46.24
"271.1648 / 2.54",46.23
"364.0654 / 2.35",46.228
"420.9707 / 1.17",46.188
"303.0728 / 5.11  M-H-",46.187
"195.0886 / 17.42  MH",46.184
"283.1268 / 5.11",46.157
"274.1810 / 14.79",46.149
"137.0596 / 6.92",46.064
"342.0466 / 2.51",46.025
"367.1044 / 1.51",46.021
"277.1478 / 2.06",45.96
"190.0547 / 6.94",45.946
"260.0240 / 9.56",45.918
"385.0885 / 6.64",45.898
"309.1784 / 1.64  2MNa",45.859
"496.9576 / 1.13",45.829
"382.1356 / 13.69",45.782
"360.2038 / 6.71",45.738
"197.0683 / 3.80",45.719
"218.0665 / 2.70  M-H-",45.707
"225.9244 / 8.58",45.699
"314.1716 / 11.98  MH",45.542
"405.1758 / 19.81  M-H-",45.422
"429.2394 / 6.82  MHNH42",45.402
"344.0221 / 6.41",45.32
"281.1124 / 5.01",45.316
"143.1182 / 10.44  MNH4",45.296
"266.1388 / 8.51",45.154
"469.0282 / 8.27",45.034
"181.0730 / 13.38",44.964
"418.9419 / 1.06",44.946
"322.1009 / 2.97  MNa",44.945
"272.9376 / 7.96",44.918
"112.1119 / 4.02",44.909
"696.9885 / 1.13  3M2Na-3H-",44.891
"158.9970 / 4.47",44.863
"303.0808 / 1.44",44.831
"589.1401 / 7.41",44.794
"357.0830 / 9.33  M-H-",44.733
"374.9925 / 1.04  M-H-",44.683
"197.1286 / 3.74",44.611
"538.9991 / 1.14",44.583
"778.9914 / 1.14",44.558
"430.0735 / 5.65",44.557
"349.0756 / 5.65",44.549
"517.2775 / 8.46  M2H2",44.522
"111.0092 / 2.09",44.518
"551.0279 / 29.74",44.494
"122.0357 / 13.38",44.472
"344.9841 / 18.56",44.385
"179.0576 / 13.38  M-H-",44.344
"143.0713 / 4.75",44.34
"614.1721 / 14.55",44.336
"229.0542 / 21.72",44.329
"263.0747 / 7.02",44.263
"221.0904 / 6.99",44.249
"429.2712 / 12.54  MH",44.246
"293.0509 / 1.53  2MNa-2H-",44.242
"221.1219 / 4.83",44.236
"272.0570 / 6.94",44.2
"312.0198 / 21.27",44.182
"218.0074 / 8.61",44.181
"394.1102 / 13.22  MNa",44.127
"147.1132 / 1.03  MNH4",44.09
"573.1178 / 12.20",44.021
"284.1116 / 3.64",44.01
"483.1457 / 17.70",43.957
"265.1516 / 13.52",43.934
"435.1868 / 13.02  MNa-2H-",43.882
"183.0520 / 6.49",43.82
"243.1711 / 5.70",43.787
"443.1889 / 3.63",43.75
"274.0396 / 9.33",43.741
"241.1543 / 3.64",43.723
"264.0825 / 4.80",43.718
"633.0368 / 19.64  4M3Na-4H-",43.678
"327.1306 / 3.42",43.631
"265.1461 / 21.17",43.623
"431.9379 / 8.96",43.62
"258.1160 / 4.65",43.618
"214.0505 / 6.99",43.594
"314.0841 / 1.84",43.548
"408.1768 / 11.47  M-H-",43.523
"483.2599 / 8.96",43.485
"464.1023 / 9.84",43.384
"136.0399 / 7.76  MH",43.383
"297.0660 / 10.99",43.372
"306.1665 / 1.83",43.341
"231.0978 / 3.32  MNH4",43.331
"215.1044 / 4.32",43.263
"217.0034 / 8.04",43.257
"310.1110 / 2.67",43.23
"690.9695 / 1.10  MBr-",43.202
"217.0700 / 17.43  MNa",43.167
"202.1071 / 13.33",43.165
"275.9920 / 7.47",43.093
"294.1454 / 3.31  MNH4",43.07
"165.0437 / 9.62",43.041
"572.3040 / 12.82  M3H3",43.007
"281.1499 / 2.58",43.003
"209.1040 / 4.98",42.923
"848.9618 / 1.07",42.872
"411.0176 / 1.80",42.811
"314.1142 / 15.17",42.791
"319.1036 / 9.02",42.79
"294.0551 / 17.79",42.754
"287.1955 / 1.83",42.75
"203.0538 / 14.15",42.685
"673.2323 / 1.62",42.65
"332.9518 / 2.05  MNa-2H-",42.626
"406.9893 / 1.80",42.607
"245.0745 / 1.51",42.569
"513.2342 / 17.69",42.569
"385.9687 / 2.64",42.56
"451.1571 / 2.05",42.553
"606.6544 / 18.52  M3H3",42.531
"197.0678 / 2.26",42.516
"452.1190 / 13.22",42.482
"295.1669 / 5.71",42.48
"774.4356 / 3.74  M-H-",42.46
"403.1575 / 17.69",42.448
"220.1178 / 1.62",42.427
"259.1191 / 15.61  M-H-",42.408
"418.1655 / 14.43  MH",42.402
"524.2388 / 17.21  M2H2",42.334
"201.1135 / 14.87  M-H-",42.33
"663.8248 / 13.91  M2H2",42.291
"502.9735 / 1.17",42.272
"429.1255 / 4.94",42.271
"301.1414 / 10.28",42.233
"258.1669 / 7.99",42.131
"388.0278 / 20.99",42.101
"794.3925 / 19.99  MNa",42.051
"267.1353 / 3.37  MH",42.026
"463.1065 / 13.38",41.989
"322.0768 / 2.52  MH",41.977
"120.0809 / 6.29",41.967
"515.2637 / 7.98  2MNa",41.922
"260.1328 / 5.04",41.916
"237.1234 / 7.29",41.894
"114.1279 / 6.36",41.883
"393.0794 / 13.72",41.874
"404.1487 / 16.25  M-H-",41.857
"309.1080 / 4.47",41.848
"244.1184 / 5.11  MH",41.779
"174.1121 / 1.74  M",41.717
"334.1376 / 11.96  MNa-2H-",41.696
"453.7366 / 10.31",41.687
"274.1399 / 1.94",41.663
"609.1069 / 7.35  MNa-2H-",41.631
"233.0426 / 8.81",41.603
"141.0175 / 8.59",41.589
"133.0315 / 1.77  MH",41.579
"346.2333 / 11.14",41.514
"516.2340 / 15.66",41.497
"167.0563 / 7.92",41.486
"165.0424 / 8.67",41.451
"85.0628 / 4.08",41.391
