"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"100.0756 / 5.02  MH",-0.001621,-0.0085027,-0.0016924,0.0027373,-0.0031833,-0.0055472,0.0058953,0.0054959
"100.1122 / 11.13",-0.002214,0.0032575,-0.0012951,-0.0014201,0.009067,-0.016345,0.01142,-0.0022934
"101.0061 / 2.68",-0.00034874,-0.0012458,-0.0001934,-0.0013206,0.0015989,-0.0018441,-0.00074272,0.00062327
"101.0062 / 15.57",0.0024514,0.0086847,-0.0046251,0.021552,0.003452,-0.020067,0.0075193,0.01377
"101.0062 / 29.29",-4.2076e-05,-0.0035691,-0.0078073,-0.017626,0.0019293,-0.0015492,-0.011725,-0.0036524
"101.0078 / 11.17",0.00059614,0.0070821,0.017556,0.0053488,-0.022958,0.015819,0.014169,-0.020128
"101.0082 / 18.85",-0.00037717,0.0068769,-0.0042628,-0.0022234,0.0083502,0.024211,-0.0067937,0.0064756
"101.0082 / 8.86",0.0032308,0.015453,-0.0033116,-0.0053402,-0.018786,8.6701e-05,0.0087569,0.00029595
"101.0083 / 14.28",0.0021167,0.0045622,0.0085088,-0.001372,0.0094695,0.0015217,0.018959,0.010061
"101.0083 / 14.97",0.0063373,0.0053172,-0.021378,0.008258,-0.023859,-0.009319,0.0070551,-0.023041
"101.0083 / 16.80",-0.0013155,0.0076909,-0.0055549,-0.00060103,0.015494,0.0019296,0.011131,-0.020849
"101.0083 / 20.10",0.0086052,-0.00096317,-0.00033722,0.014296,0.011195,0.0054714,-0.020643,-0.007949
"101.0084 / 13.67",0.0054487,-0.0018922,0.0088744,-0.015075,-0.0066241,-0.00087408,0.01316,-0.00038442
"101.0084 / 18.06",-7.9755e-05,-0.0096326,0.014575,0.006168,0.0003369,0.025928,-0.023082,0.010309
"101.0084 / 4.48",0.0030895,-0.0029962,0.012986,0.0014754,0.0079792,-0.0052812,0.0060694,-0.021284
"101.0085 / 3.63",0.0011335,-0.015794,0.0091123,0.00076737,0.0018764,-0.0070588,0.0042074,-0.0083154
"101.0086 / 7.83",0.0019587,-0.0011539,0.0010542,0.0067227,-0.02149,-0.0055639,0.016677,0.0025147
"101.0087 / 1.10",0.00054793,-0.0075667,-0.0048526,0.00059794,0.0071622,-0.0036853,-0.0017342,-0.0015468
"101.0088 / 10.34",0.0027124,-0.010852,0.006556,0.0020669,-0.0022223,0.018175,-0.019602,0.00046687
"101.0088 / 12.79",0.0023118,-0.0019483,0.010528,-0.0014759,0.0057267,-0.0085772,-0.0024243,0.0089214
"101.0088 / 6.16",0.00039451,0.0015122,0.011704,-0.0064633,-0.013867,0.0046682,0.0025723,-0.011456
"101.0222 / 2.67",0.00013126,0.0013529,0.0039761,-0.0022502,0.001355,0.0046205,-1.5959e-05,-0.0021637
"101.0599 / 6.44",0.001538,-0.012764,0.01201,-0.00875,0.013565,-0.016926,0.0064114,-0.007427
"101.0786 / 4.98",-0.0027813,-0.01611,0.00042397,0.014154,-0.0057494,-0.0043899,0.011222,0.0084647
"102.0095 / 1.11",0.00040405,-0.0083915,-0.004978,0.00059759,0.0078246,-0.0044039,-0.002243,-0.0015028
"102.0911 / 8.83",-0.0015109,0.012154,0.0086136,-0.0057299,-0.027905,0.012881,0.0064263,-0.0063383
"102.1254 / 10.12",0.0068348,-0.0062565,0.0039288,0.0045625,0.00071638,-0.022784,0.010957,0.0054879
"102.1277 / 13.04",0.0037374,-0.0064054,0.005565,-0.011178,0.025506,0.0035444,0.0099454,0.018276
"103.0066 / 1.11",0.00038783,-0.0088653,-0.0052667,0.00048721,0.0083056,-0.004701,-0.0022689,-0.00099784
"103.0542 / 1.86",-0.00041201,-0.008257,0.00047449,0.0014278,-0.0063211,0.0091103,-0.0072115,0.0013238
"103.0547 / 2.80  MH",0.00055789,-0.010933,0.0028888,-0.0043087,0.0031069,-0.00064093,0.00090645,-0.0042232
"104.1047 / 1.42",0.0012595,-0.0058448,0.0024017,-0.00069307,0.002645,-0.0032449,-0.00030932,-0.0041143
"104.9630 / 8.23",-0.0009118,-0.0047283,0.0074383,-0.0045256,-0.0048345,-0.0085973,-0.0085692,0.013564
"104.9635 / 10.89",-0.0019396,-0.014949,-0.01113,-0.0053186,-0.0022396,-0.0053006,-0.0040199,0.016084
"104.9635 / 7.58",0.0019154,-0.0002971,0.00028234,-0.0048176,0.0084963,0.00043178,-0.0069004,0.019047
"104.9636 / 9.29",0.0033254,0.0030145,0.0074272,-0.0089142,0.011189,-0.0071606,0.017453,0.0037698
"104.9637 / 11.62",0.0025085,-0.007374,-0.0059764,0.015456,0.014551,-0.012881,-0.017537,0.00039314
"104.9893 / 14.29",0.0041836,-0.0016874,-0.012788,0.0059373,-0.0015198,-0.00022005,0.0079591,0.021979
"104.9899 / 1.26",5.8044e-05,-0.0002123,0.00071349,-4.0621e-05,0.00033871,-6.8494e-05,0.00010223,-0.00085865
"104.9900 / 22.86",0.001129,0.0056353,0.0052588,0.0096015,0.0078554,0.00065475,0.01328,0.0059764
"104.9915 / 11.72",-0.0010777,-0.01416,-0.011159,8.7496e-06,-0.010214,0.0011971,0.0015895,0.0036309
"104.9915 / 17.35",0.0043446,-0.00079517,0.009774,0.0013943,-0.0073647,0.0092272,-0.019237,-0.0038178
"104.9922 / 15.95",0.0014478,-0.0045382,0.0045613,0.0029501,0.0087129,-0.009139,0.030598,-0.014732
"104.9923 / 20.29",0.0017796,0.0053744,-0.0063134,-0.028432,-0.013329,0.02547,0.018722,-0.0037244
"104.9924 / 18.09",0.0056618,-0.010154,0.0048679,0.021634,0.0038314,0.013336,-0.013313,0.0078977
"104.9924 / 21.82",0.0024969,0.0041625,0.00077199,-0.0044438,-0.010184,-0.0032054,-0.0055933,-0.0059375
"104.9924 / 23.98",0.00052003,0.00048255,0.0037421,-0.0018818,-0.00052917,0.0044871,0.0010144,-0.0018697
"104.9924 / 27.00",0.0012417,-0.0097144,0.0028328,-0.0063077,-0.0073354,0.018255,-0.0037935,-0.00055417
"104.9925 / 24.73",6.24e-05,-0.00010316,0.0011077,0.00093062,0.0014567,-0.00053746,0.003253,0.00030813
"104.9926 / 22.34",0.0016515,-0.004438,-0.00055632,-0.00067455,0.0012476,-0.0014737,0.010948,0.0038323
"104.9926 / 26.30",-0.004618,0.0062696,-0.013113,0.0015133,0.028806,0.021008,0.016876,0.008389
"104.9926 / 27.58",0.00020247,0.00046593,0.000932,-0.00015914,-0.0010097,9.519e-05,0.00087657,-0.00024758
"104.9927 / 21.06",-0.00037039,-0.015695,0.0045054,0.02909,0.011552,-0.0143,0.0037441,-0.014007
"105.0335 / 9.07",-0.003482,-0.0064364,0.0090437,-0.019979,0.025571,-0.0073171,0.010292,-0.016637
"105.0674 / 4.72",-0.002659,-0.0084599,0.012378,-0.003763,-0.003835,-0.031549,0.0051362,0.0055775
"105.0694 / 1.87",0.0009823,0.0010106,-0.0002575,-0.0016413,-0.00079187,0.0011093,-0.0013458,0.00069117
"105.0694 / 7.48",0.0011316,-0.0055196,0.0048775,0.00015076,-0.001308,-0.010241,0.0038874,-0.0016779
"105.0696 / 31.82",-0.00096708,0.0071489,-0.018594,-0.0086246,0.0055345,-0.0027799,0.0047286,0.013899
"105.0697 / 0.86",-8.0085e-05,0.00057364,-0.00036299,0.0009707,-0.00047538,0.001247,0.0034728,-0.0014378
"105.0697 / 31.26",-0.00049749,0.00021557,-0.0080189,0.0020073,0.0080555,0.012048,-0.0035606,-0.0072462
"105.0698 / 2.41",0.0014414,-0.0068564,0.0052988,0.0046353,-0.0066282,0.005154,-0.0042426,0.0021146
"105.0698 / 5.57",0.00089064,-0.0085396,0.018713,0.0015866,-0.0012406,-0.0048829,-0.0024337,-0.0056925
"105.0699 / 6.23",0.0029578,-0.0060863,-0.0019437,0.0062737,-0.0034588,-0.004423,0.0012914,0.014261
"105.0701 / 0.24",-0.0016892,0.0084172,-0.025509,-0.011319,0.008712,0.015556,0.012546,0.0075966
"105.0701 / 3.48",0.0052947,0.0080289,0.0059201,-0.0099161,-0.00025359,-0.0077385,0.011882,0.0086772
"105.0702 / 8.63",-0.00045973,-0.010119,3.8731e-05,-0.010358,0.0011585,-0.015866,0.010014,0.015263
"105.0703 / 6.91",0.0017296,-0.00039109,-0.0084111,-0.00095529,-0.011978,0.015394,0.0040058,-0.0026952
"105.9322 / 4.97",0.0013685,-0.0023847,0.0094626,-0.016804,0.0049555,-0.0099495,-0.0074899,0.0089631
"105.9346 / 29.50",-0.00024666,0.00077263,0.00070296,-0.00020084,-1.7749e-05,-0.00090549,-0.0018965,0.0022162
"105.9350 / 11.50",0.0038698,-0.0030513,-0.01051,-0.008238,-0.0011487,-0.020047,0.002027,0.002858
