"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"CM1",-304.77,-67.934,-17.141,43.041,40.494,5.3871,-36.369,-60.029
"CM2",-283.06,8.9081,-92.555,-116.02,-163.14,-131.89,-85.71,31.2
"CM3",-294.4,-71.057,-19.386,25.514,42.488,53.539,54.321,53.126
"CM4",-195.76,-134.97,107.11,-58.835,-102.5,-47.34,151.24,-45.013
"CM5",-293.85,-78.171,-3.1732,20.31,52.615,44.369,64.527,93.168
"CO1",-225.2,-91.081,-29.744,13.931,70.495,0.18646,-87.526,10.311
"CO2",-271.29,-70.3,-9.015,-5.5039,-17.519,-18.37,-13.916,-45.759
"CO3",-295.03,-76.68,3.8503,33.41,4.8143,-4.8573,8.6821,-47.828
"CO4",-288.37,-85.923,11.119,21.573,60.733,36.51,37.3,-22.873
"CO5",-308.34,-79.289,0.53209,57.285,52.472,17.997,-6.9226,-29.74
"CY1",-249.4,-64.879,-27.662,-46.594,-38.5,69.856,50.51,32.999
"CY2",-278.01,-64.16,-13.307,-16.705,-22.485,21.005,-16.076,-38.232
"CY3",-294.65,-38.74,-30.537,-40.429,-53.389,-69.68,-75.822,-54.408
"CY4",-240.04,-72.726,-53.686,-1.5944,65.039,36.924,-52.2,76.48
"CY5",-293.52,-45.895,-32.094,-30.742,-23.193,-27.271,2.4035,45.028
"M2",421.47,-25.312,81.882,-43.028,89.316,-82.234,-133.32,143.98
"M3",-230.46,262.72,23.611,17.738,-82.924,38.225,-8.6641,112.84
"M4",439.8,12.074,-95.41,123.07,11.202,-60.168,66.663,-88.852
"M5",146.32,196.04,-175.35,-48.817,78.14,81.959,-80.963,-4.7806
"M6",486.51,-23.861,-37.471,96.565,-15.454,-93.622,47.08,46.612
"O1",436.38,-16.94,118.24,-193.23,52.152,-0.39824,97.483,28.635
"O2",-227.53,185.92,124.38,114.58,26.536,122.79,91.033,27.564
"O3",-188.59,243.93,58.331,-26.683,-108.01,17.536,-34.434,-45.911
"O5",633.68,-98.304,31.104,39.379,-148.47,204.11,-106.23,-64.63
"O6",65.004,133.42,54.472,-24.669,-11.354,-13.097,30.201,-32.226
"O8",543.79,-52.94,13.03,-12.921,26.241,106.43,-89.442,-26.956
"Y2",611.27,-72.969,-56.306,138.43,-59.78,-85.004,55.59,42.298
"Y3",298.37,78.923,-1.8295,-154.99,139.44,-28.687,32.918,-132.93
"Y4",215.75,161.32,-164.87,-15.253,10.584,-24.368,140.22,6.2741
"Y5",584.05,-81.276,69.433,-38.044,-41.304,-12.707,5.6642,48.816
"Y6",-120.11,130.15,162.43,129.23,65.258,-157.13,-108.24,-59.171
