"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"100.0756 / 5.02  MH",0.43011,0.69404,0.6833,0.68083,0.68068
"100.1122 / 11.13",0.16581,0.24495,0.24271,0.24179,0.24202
"101.0061 / 2.68",0.078908,0.11512,0.11424,0.11432,0.11429
"101.0062 / 15.57",0.55466,0.80915,0.80397,0.82631,0.82602
"101.0062 / 29.29",0.19982,0.50379,0.59751,0.6208,0.62054
"101.0078 / 11.17",0.36981,0.79713,0.86349,0.86023,0.86117
"101.0082 / 18.85",0.13783,0.45585,0.4516,0.45113,0.4548
"101.0082 / 8.86",0.75517,1.1267,1.122,1.1227,1.1236
"101.0083 / 14.28",0.42498,0.56545,0.59135,0.58981,0.59132
"101.0083 / 14.97",0.74544,0.59172,0.7255,0.72273,0.72808
"101.0083 / 16.80",0.051262,0.49221,0.4887,0.48906,0.49206
"101.0083 / 20.10",0.99172,0.78285,0.78782,0.80326,0.80356
"101.0084 / 13.67",0.5664,0.46254,0.45542,0.48208,0.48211
"101.0084 / 18.06",0.17617,0.43293,0.56903,0.57309,0.57339
"101.0084 / 4.48",0.34639,0.27304,0.39687,0.39659,0.39682
"101.0085 / 3.63",0.26714,0.9923,0.99437,0.99058,0.99017
"101.0086 / 7.83",0.19496,0.16676,0.16562,0.16499,0.17898
"101.0087 / 1.10",0.17391,0.59461,0.58998,0.58814,0.58814
"101.0088 / 10.34",0.043438,0.64653,0.65578,0.65383,0.65359
"101.0088 / 12.79",0.26272,0.20705,0.28655,0.28563,0.28555
"101.0088 / 6.16",0.12513,0.2208,0.25517,0.27354,0.27629
"101.0222 / 2.67",0.072169,0.15172,0.1638,0.16365,0.16391
"101.0599 / 6.44",0.13886,0.77495,0.78257,0.78232,0.78231
"101.0786 / 4.98",0.73419,1.1813,1.17,1.172,1.1717
"102.0095 / 1.11",0.21405,0.65913,0.65321,0.65111,0.65109
"102.0911 / 8.83",0.18811,0.89287,0.88009,0.88525,0.88767
"102.1254 / 10.12",0.62397,0.6121,0.61105,0.60917,0.60934
"102.1277 / 13.04",0.26682,0.4359,0.43886,0.4376,0.44811
"103.0066 / 1.11",0.23093,0.69822,0.69208,0.68981,0.68979
"103.0542 / 1.86",0.277,0.606,0.59651,0.59424,0.59409
"103.0547 / 2.80  MH",0.24036,0.7681,0.75626,0.75414,0.75388
"104.1047 / 1.42",0.010888,0.37607,0.37277,0.37136,0.37122
"104.9630 / 8.23",0.21596,0.32506,0.32868,0.33562,0.3369
"104.9635 / 10.89",0.72485,1.3656,1.3748,1.3711,1.3706
"104.9635 / 7.58",0.20355,0.16351,0.16171,0.16255,0.16481
"104.9636 / 9.29",0.48851,0.47383,0.47615,0.47724,0.47853
"104.9637 / 11.62",0.088441,0.48372,0.47864,0.50611,0.50622
"104.9893 / 14.29",0.36994,0.38571,0.42711,0.42981,0.42963
"104.9899 / 1.26",0.0047106,0.005864,0.015914,0.015862,0.015884
"104.9900 / 22.86",0.35333,0.61979,0.6533,0.6633,0.66398
"104.9915 / 11.72",0.59425,1.25,1.2556,1.2511,1.2509
"104.9915 / 17.35",0.52151,0.41766,0.4521,0.45044,0.45084
"104.9922 / 15.95",0.077027,0.22102,0.26405,0.26936,0.271
"104.9923 / 20.29",0.23986,0.21151,0.45484,0.53108,0.53088
"104.9924 / 18.09",0.44608,0.59149,0.67141,0.70938,0.7095
"104.9924 / 21.82",0.38111,0.38603,0.38598,0.39349,0.3956
"104.9924 / 23.98",0.089673,0.10362,0.1189,0.11927,0.11932
"104.9924 / 27.00",0.13723,0.68955,0.67862,0.67904,0.67875
"104.9925 / 24.73",0.014582,0.021752,0.04289,0.045247,0.045634
"104.9926 / 22.34",0.058347,0.31817,0.31323,0.31205,0.31207
"104.9926 / 26.30",0.37864,0.4612,0.47015,0.48894,0.50669
"104.9926 / 27.58",0.040207,0.053004,0.054162,0.054112,0.054158
"104.9927 / 21.06",0.37655,0.87305,0.94477,0.98837,0.98808
"105.0335 / 9.07",0.56047,0.60221,0.59525,0.60611,0.61067
"105.0674 / 4.72",0.4954,0.61714,0.62818,0.63192,0.63396
"105.0694 / 1.87",0.13324,0.11828,0.11865,0.11952,0.11948
"105.0694 / 7.48",0.0051635,0.32651,0.332,0.33104,0.33133
"105.0696 / 31.82",0.030221,0.1955,0.48,0.48273,0.48295
"105.0697 / 0.86",0.0084025,0.043331,0.042849,0.044198,0.044225
"105.0697 / 31.26",0.078836,0.083269,0.13091,0.14306,0.14892
"105.0698 / 2.41",0.0068473,0.38297,0.40086,0.40045,0.40064
"105.0698 / 5.57",0.034914,0.33378,0.50166,0.49975,0.49972
"105.0699 / 6.23",0.16421,0.43697,0.43011,0.43114,0.43122
"105.0701 / 0.24",0.1121,0.21264,0.60584,0.60613,0.60877
"105.0701 / 3.48",0.83153,0.86961,0.85598,0.85854,0.85818
"105.0702 / 8.63",0.37002,0.83299,0.82711,0.83136,0.83105
"105.0703 / 6.91",0.13031,0.19008,0.26829,0.26829,0.26859
"105.9322 / 4.97",0.093148,0.16788,0.16663,0.23614,0.23605
"105.9346 / 29.50",0.0031234,0.060789,0.060668,0.060569,0.060582
"105.9350 / 11.50",0.26058,0.48,0.57109,0.57938,0.57992
"105.9350 / 2.52",0.5503,1.4408,1.4416,1.4393,1.4387
"105.9350 / 6.59",0.16507,0.27416,0.29473,0.29522,0.29664
"105.9351 / 0.60",0.35777,0.4422,0.43704,0.43886,0.4397
"105.9351 / 31.75",0.14614,0.48817,0.49899,0.49748,0.49769
"105.9351 / 4.01",0.10426,0.6468,0.63698,0.63508,0.63482
"107.0483 / 8.81",0.39725,1.2475,1.234,1.2293,1.2288
"107.0488 / 2.78",0.25659,0.81003,0.79762,0.79535,0.79507
"107.0490 / 22.30",0.68403,0.78615,0.77377,0.77293,0.77276
"107.0828 / 7.97",0.0045578,0.040594,0.17052,0.17162,0.17315
"107.0829 / 31.88",0.49608,0.65256,0.64579,0.64499,0.64521
"107.0829 / 4.53",0.13083,0.83664,0.82515,0.82203,0.82247
