"","MeanDecreaseAccuracy"
"358.1308 / 11.95",0.0025974
"219.0170 / 1.85  MH",0.002
"245.0745 / 1.51",0.001913
"872.1331 / 18.76",0.0018409
"860.8867 / 18.43  M4H4",0.0016818
"248.0917 / 2.44",0.0016308
"204.0569 / 1.46",0.0015385
"354.2024 / 19.61  M-H-",0.0015
"408.1768 / 11.47  M-H-",0.0014667
"287.2448 / 1.42",0.0014545
"414.2352 / 6.06",0.0014444
"244.1543 / 6.27",0.0014343
"262.1835 / 19.21",0.0013333
"332.2180 / 10.73",0.0013333
"196.0608 / 2.54",0.0013333
"290.0992 / 3.19",0.0013231
"336.1535 / 11.98  MNa",0.0012987
"133.0315 / 1.77  MH",0.0012828
"713.1725 / 22.62",0.0012778
"693.4125 / 16.19  M-",0.0012727
"572.3040 / 12.82  M3H3",0.00125
"589.2976 / 12.96",0.0012
"405.2822 / 1.57",0.0012
"703.2735 / 19.76  MNa-2H-",0.0011865
"374.1565 / 2.70",0.0011667
"366.1667 / 4.23",0.0011608
"169.9864 / 1.45",0.0011429
"589.2092 / 2.29",0.0011111
"340.1869 / 17.48  M-H-",0.0011111
"318.1674 / 2.28  MAcO-H-",0.0011111
"522.2399 / 14.74",0.0011111
"689.3102 / 18.40",0.0010909
"603.3342 / 13.95",0.0010909
"520.2759 / 16.72",0.0010909
"502.7740 / 10.52  M2H2",0.0010909
"465.2705 / 14.34",0.0010909
"107.0490 / 22.30",0.0010909
"520.2733 / 18.65  M3H3",0.0010769
"409.1718 / 4.83",0.0010769
"220.1178 / 1.62",0.0010707
"323.0607 / 1.49",0.0010455
"257.0775 / 4.11",0.0010238
"87.0456 / 3.71",0.001
"665.3238 / 17.20  M-H-",0.001
"635.1248 / 21.53",0.001
"334.1376 / 11.96  MNa-2H-",0.001
"301.1172 / 3.32",0.001
"843.6325 / 18.49",0.001
"556.3216 / 16.92",0.001
"554.7499 / 17.92",0.001
"535.2289 / 17.21  MHNa2",0.001
