"","d.value","stdev","rawp","q.value"
"689.3102 / 18.40",20.789,0.6775,0,0
"861.3925 / 18.36",19.057,0.69537,0,0
"861.1418 / 18.39",19.024,0.68358,0,0
"276.0185 / 10.87",-17.47,0.71204,0,0
"675.1069 / 18.60",15.961,0.86264,0,0
"210.0396 / 4.48",-15.227,0.82313,0,0
"843.1252 / 18.53  M4H4",15.077,0.81023,0,0
"843.3838 / 18.46",15.006,0.86257,0,0
"843.8828 / 18.46",14.8,0.86431,0,0
"843.6325 / 18.49",14.365,0.90641,0,0
"208.0612 / 7.60",-13.153,0.94984,0,0
"689.1124 / 18.44  M5H5",12.743,1.0576,0,0
"300.1079 / 6.34",-12.687,0.79221,0,0
"688.9154 / 18.36  M5H5",12.438,1.021,0,0
"860.8867 / 18.43  M4H4",12.304,0.97543,0,0
"306.0591 / 8.40",-12.277,0.9246,0,0
"844.3766 / 18.58",11.929,0.96411,0,0
"287.2448 / 1.42",11.842,0.7159,0,0
"872.3864 / 18.76",11.626,0.98102,0,0
"872.1331 / 18.76",11.525,0.97431,0,0
"158.0814 / 8.34",-11.366,0.93953,0,0
"415.2203 / 13.02",11.293,1.0187,0,0
"192.0663 / 10.84",-11.236,1.0669,0,0
"462.1027 / 10.28",11.133,0.92988,0,0
"674.7088 / 18.49  M5H5",11.115,1.1241,0,0
"413.2048 / 13.02  M-H-",10.972,1.13,0,0
"697.9073 / 18.79  M5H5",10.903,1.0541,0,0
"328.2237 / 9.83",10.899,1.136,0,0
"245.0745 / 1.51",-10.775,0.47759,0,0
"399.2601 / 12.54  MH",10.743,1.2275,0,0
"312.1562 / 11.99  M-H-",10.505,1.2816,0,0
"587.1252 / 7.35  M-H-",10.369,1.1138,0,0
"674.9046 / 18.50  M5H5",10.183,1.2541,0,0
"295.1116 / 8.77  M-H-",10.057,1.0668,0,0
"198.1128 / 16.23",-9.6342,0.99555,0,0
"287.1384 / 8.37",9.3778,0.97914,0,0
"162.0550 / 7.64",-9.267,1.1231,0,0
"574.1308 / 12.23",9.2611,1.1533,0,0
"697.7069 / 18.75  M5H5",9.2414,1.1619,0,0
"872.8851 / 18.82",9.1654,1.1206,0,0
"872.6324 / 18.79",9.0778,1.1719,0,0
"196.0608 / 2.54",-9.0207,1.1175,0,0
"651.2652 / 14.68",8.9482,1.0885,0,0
"589.1401 / 7.41",8.8615,1.0999,0,0
"573.1178 / 12.20",8.7835,1.0707,0,0
"224.0562 / 8.37",-8.7369,1.2323,0,0
"482.7590 / 8.92",8.7162,1.1922,0,0
"234.1001 / 3.78  MAcO-H-",-8.681,1.0945,0,0
"340.0431 / 10.95",-8.6428,1.1591,0,0
"435.1868 / 13.02  MNa-2H-",8.6301,1.1873,0,0
"483.2599 / 8.96",8.6147,1.1224,0,0
"571.1296 / 10.27",8.5717,1.2444,0,0
"336.1535 / 11.98  MNa",8.5677,1.2753,0,0
"303.0808 / 1.44",-8.4725,0.57383,0,0
"429.2394 / 6.82  MHNH42",8.4484,1.3407,0,0
"589.1116 / 10.48",8.4195,1.1004,0,0
"408.1768 / 11.47  M-H-",8.3264,1.297,0,0
"245.1872 / 6.84  MH",8.3203,1.4648,0,0
"516.2340 / 15.66",8.3119,1.1705,0,0
"443.1889 / 3.63",8.2853,1.1287,0,0
"245.9472 / 2.45",-8.2745,0.40611,0,0
"203.0832 / 14.04",-8.2659,1.2757,0,0
"184.0968 / 11.16",-8.2569,1.0739,0,0
"560.2801 / 18.73  M3H3",8.2069,1.0695,0,0
"302.0556 / 8.25  2MNH4",-8.1789,1.1568,0,0
"410.1929 / 11.48",8.0678,1.3901,0,0
"606.6544 / 18.52  M3H3",7.961,1.2349,0,0
"314.1716 / 11.98  MH",7.9535,1.3795,0,0
"248.1162 / 7.35",-7.9173,1.1849,0,0
"500.2349 / 8.31",7.9091,1.1619,0,0
"690.3213 / 19.36  M-2H2-",7.8166,1.2558,0,0
"590.1251 / 10.47",7.7727,1.2267,0,0
