"","FC","log2(FC)","raw.pval","-log10(p)"
"215.0341 / 1.45",4.99,2.319,1.3309e-08,7.8758
"293.0509 / 1.53  2MNa-2H-",20.336,4.346,2.6619e-08,7.5748
"303.0808 / 1.44",14.238,3.8317,2.6619e-08,7.5748
"245.9472 / 2.45",7.939,2.989,4.6583e-08,7.3318
"116.0721 / 4.32",8.6868,3.1188,7.9856e-08,7.0977
"135.0309 / 1.47  M-H-",9.2311,3.2065,1.2644e-07,6.8981
"321.2079 / 22.32",5.5235,2.4656,1.2644e-07,6.8981
"257.0565 / 1.50",14.712,3.879,1.9964e-07,6.6998
"194.9866 / 1.50",9.6982,3.2777,1.9964e-07,6.6998
"231.9685 / 1.84",0.095397,-3.3899,2.9946e-07,6.5237
"192.9899 / 1.47",8.98,3.1667,2.9946e-07,6.5237
"385.9687 / 2.64",8.1498,3.0268,4.4586e-07,6.3508
"276.0185 / 10.87",149.02,7.2193,5.2808e-07,6.2773
"689.3102 / 18.40",2.1861e-05,-15.481,5.2965e-07,6.276
"861.3925 / 18.36",3.7957e-05,-14.685,5.2965e-07,6.276
"861.1418 / 18.39",4.4455e-05,-14.457,5.2965e-07,6.276
"176.0280 / 1.80",56.533,5.821,6.455e-07,6.1901
"208.0612 / 7.60",86.011,6.4264,7.1587e-07,6.1452
"210.0396 / 4.48",69.088,6.1104,8.168e-07,6.0879
"843.1252 / 18.53  M4H4",0.00080447,-10.28,8.8791e-07,6.0516
"675.1069 / 18.60",0.00089494,-10.126,8.8791e-07,6.0516
"843.3838 / 18.46",0.0010113,-9.9495,8.8791e-07,6.0516
"843.6325 / 18.49",0.0010811,-9.8532,8.8791e-07,6.0516
"843.8828 / 18.46",0.0016074,-9.281,8.8791e-07,6.0516
"192.0663 / 10.84",75.622,6.2407,9.2161e-07,6.0355
"257.0775 / 4.11",2.845,1.5085,9.25e-07,6.0339
"306.0591 / 8.40",66.269,6.0503,1.0964e-06,5.96
"217.0317 / 1.45",3.3205,1.7314,1.2977e-06,5.8868
"199.0604 / 3.26",2.5276,1.3378,1.2977e-06,5.8868
"158.0814 / 8.34",48.07,5.5871,1.3479e-06,5.8704
"198.1128 / 16.23",63.552,5.9899,1.3943e-06,5.8557
"196.0608 / 2.54",41.268,5.367,1.3943e-06,5.8557
"295.1116 / 8.77  M-H-",0.00089282,-10.129,1.7188e-06,5.7648
"328.2237 / 9.83",1.4401e-05,-16.083,1.8799e-06,5.7259
